artwork_id,image_id,date,title_fr,title_en,title_lang,medium,support,width_cm,height_cm,width_in,height_in,tags,show,favorite,possessor,notes
mj-20220309,img-20220309,2022-03-09,,,,acrylic marker on brown paper,paper,29.7,21,,,,1,0,Martin Jambon,The date is approximate
mj-20220305-3,img-20220305-3,2022-03-05,,,,acrylic marker on brown paper,paper,29.7,21,,,,1,0,Martin Jambon,
mj-20220305-2,img-20220305-2,2022-03-05,au milieu du ciel,midair,en,acrylic marker on brown paper,paper,29.7,21,,,,1,1,Martin Jambon,
mj-20220305-1,img-20220305-1,2022-03-05,,,,acrylic marker on paper,paper,29.7,21,,,,0,0,Martin Jambon,
mj-20220226,img-20220226,2022-02-26,la guerre,war,en,acrylic on canvas,canvas,,,14,11,painting,1,1,Martin Jambon,
mj-20220221,img-20220221,2022-02-21,,3,en,acrylic on paper,paper,,,,,painting,1,0,Kathy Jambon,
mj-20220220,img-20220220,2022-02-20,intervention brutaliste,brutalist intervention,en,acrylic on canvas,canvas,,,14,11,painting,1,0,Martin Jambon,
mj-20220212,img-20220212,2022-02-12,,,,acrylic on canvas,canvas,,,14,11,painting,1,1,Martin Jambon,
mj-20220207,img-20220207,2022-02-07,la Saint-Valentin,Valentine’s day,en,acrylic on paper,paper,24,18,,,painting,1,0,Martin Jambon,
mj-20220205,img-20220205,2022-02-05,les viandes d´Icelande,meats of Iceland,en,acrylic on paper,paper,32,24,,,painting,1,0,Martin Jambon,
mj-20220131,img-20220131,2022-01-31,sushi,sushi,en,acrylic on paper,paper,24,18,,,painting,1,0,Martin Jambon,
mj-20220123,img-20220123,2022-01-23,viandelettes,meatlets,en,acrylic on paper,paper,24,18,,,painting,1,0,Martin Jambon,
mj-20220122,img-20220122,2022-01-22,,10:15 on a Saturday night,en,acrylic on paper,paper,24,18,,,painting,1,0,Martin Jambon,
mj-20220116-2,img-20220116-2,2022-01-16,rouge,red,en,acrylic on paper,paper,,,,,painting,1,0,Martin Jambon,
mj-20220116-1,img-20220116-1,2022-01-16,,,,acrylic on paper,paper,20,15,,,painting,1,0,Martin Jambon,
mj-20220109,img-20220109,2022-01-09,,,,acrylic on paper,paper,25,20,,,painting,1,0,Martin Jambon,
